Date,Open,High,Low,Close,Adj Close,Volume
2024-09-30,59106.19140625,59815.05859375,57425.16796875,57431.0234375,57431.0234375,92593614.7673611
2024-09-30,57020.09765625,58029.9765625,56419.4140625,57648.7109375,57648.7109375,100200105.92708333
2024-09-30,57650.2890625,57991.3203125,55567.33984375,57343.171875,57343.171875,128642578.72222222
2024-09-30,65634.65625,65635.0546875,62873.6171875,63329.5,63329.5,128864435.67708333
2024-09-30,65888.8984375,66069.34375,65450.015625,65635.3046875,65635.3046875,51347967.27430555
2024-09-30,57430.34765625,58511.5703125,55673.1640625,57971.5390625,57971.5390625,123707223.30555555
2024-09-30,57343.171875,58534.359375,57330.1015625,58127.01171875,58127.01171875,117485097.0451389
2024-09-30,65792.1796875,66255.53125,65458.03515625,65887.6484375,65887.6484375,52929298.55555555
2024-09-30,65180.6640625,66480.6953125,64852.9921875,65790.6640625,65790.6640625,111315324.47569445
2024-09-30,58130.32421875,60648.0234375,57650.11328125,60571.30078125,60571.30078125,112814334.56944445
2024-09-30,63138.546875,65790.796875,62669.26953125,65181.01953125,65181.01953125,128031700.8576389
2024-09-30,64302.58984375,64804.50390625,62945.375,63143.14453125,63143.14453125,87077700.34722222
2024-09-30,63326.83984375,64695.21484375,62737.41796875,64301.96875,64301.96875,103952552.92708333
2024-09-30,60569.1171875,60656.72265625,59517.8828125,60005.12109375,60005.12109375,57043074.63888889
2024-09-30,56160.19140625,56976.109375,52598.69921875,53948.75390625,53948.75390625,171394769.3263889
2024-09-30,54851.88671875,58041.125,54598.43359375,57019.53515625,57019.53515625,120201722.82291667
2024-09-30,61651.15625,63872.44140625,61609.8671875,62940.45703125,62940.45703125,148299488.10069445
2024-09-30,59185.2265625,59205.51171875,57501.33984375,58192.5078125,58192.5078125,111225076.78125
2024-09-30,62941.42578125,64119.53125,62364.60546875,63192.9765625,63192.9765625,122142931.3263889
2024-09-30,53949.0859375,54838.14453125,53740.0703125,54139.6875,54139.6875,66185717.104166664
2024-09-30,54147.93359375,55300.859375,53653.7578125,54841.56640625,54841.56640625,63431553.927083336
2024-09-30,58192.5078125,61316.08984375,57628.0703125,60308.5390625,60308.5390625,132206840.6875
2024-09-30,57971.703125,58300.58203125,55712.453125,56160.48828125,56160.48828125,107744030.05555555
