Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,178.44309997558594,182.00999450683594,182.8800048828125,177.7100067138672,177.8300018310547,104487900
2022-01-04,176.17840576171875,179.6999969482422,182.94000244140625,179.1199951171875,182.6300048828125,99310400
2022-01-05,171.49208068847656,174.9199981689453,180.1699981689453,174.63999938964844,179.61000061035156,94537600
2022-01-06,168.6293182373047,172.0,175.3000030517578,171.63999938964844,172.6999969482422,96904000
2022-01-07,168.79598999023438,172.1699981689453,174.13999938964844,171.02999877929688,172.88999938964844,86709100
2022-01-10,168.81558227539062,172.19000244140625,172.5,168.1699981689453,169.0800018310547,106765600
2022-01-11,171.6489715576172,175.0800018310547,175.17999267578125,170.82000732421875,172.32000732421875,76138300
2022-01-12,172.0901336669922,175.52999877929688,177.17999267578125,174.82000732421875,176.1199951171875,74805200
2022-01-13,168.81558227539062,172.19000244140625,176.6199951171875,171.7899932861328,175.77999877929688,84505800
2022-01-14,169.6783447265625,173.07000732421875,173.77999877929688,171.08999633789062,171.33999633789062,80440800
2022-01-18,166.47239685058594,169.8000030517578,172.5399932861328,169.41000366210938,171.50999450683594,90956700
2022-01-19,162.9723663330078,166.22999572753906,171.0800018310547,165.94000244140625,170.0,94815000
2022-01-20,161.28610229492188,164.50999450683594,169.67999267578125,164.17999267578125,166.97999572753906,91420500
2022-01-21,159.22723388671875,162.41000366210938,166.3300018310547,162.3000030517578,164.4199981689453,122848900
2022-01-24,158.4527130126953,161.6199951171875,162.3000030517578,154.6999969482422,160.02000427246094,162294600
2022-01-25,156.64878845214844,159.77999877929688,162.75999450683594,157.02000427246094,158.97999572753906,115798400
2022-01-26,156.56051635742188,159.69000244140625,164.38999938964844,157.82000732421875,163.5,108275300
2022-01-27,156.09976196289062,159.22000122070312,163.83999633789062,158.27999877929688,162.4499969482422,121954600
2022-01-28,166.99203491210938,170.3300018310547,170.35000610351562,162.8000030517578,165.7100067138672,179935700
2022-01-31,171.35479736328125,174.77999877929688,175.0,169.50999450683594,170.16000366210938,115541600
2022-02-01,171.18814086914062,174.61000061035156,174.83999633789062,172.30999755859375,174.00999450683594,86213900
2022-02-02,172.39402770996094,175.83999633789062,175.8800048828125,173.3300018310547,174.75,84914300
2022-02-03,169.5116424560547,172.89999389648438,176.24000549316406,172.1199951171875,174.47999572753906,89418100
2022-02-04,169.22698974609375,172.38999938964844,174.10000610351562,170.67999267578125,171.67999267578125,82465400
2022-02-07,168.5103759765625,171.66000366210938,173.9499969482422,170.9499969482422,172.86000061035156,77251200
2022-02-08,171.6222686767578,174.8300018310547,175.35000610351562,171.42999267578125,171.72999572753906,74829200
2022-02-09,173.04562377929688,176.27999877929688,176.64999389648438,174.89999389648438,176.0500030517578,71285000
2022-02-10,168.96194458007812,172.1199951171875,175.47999572753906,171.5500030517578,174.13999938964844,90865900
2022-02-11,165.54579162597656,168.63999938964844,173.0800018310547,168.0399932861328,172.3300018310547,98670700
2022-02-14,165.78138732910156,168.8800048828125,169.5800018310547,166.55999755859375,167.3699951171875,86185500
2022-02-15,169.61964416503906,172.7899932861328,172.9499969482422,170.25,170.97000122070312,62527400
2022-02-16,169.384033203125,172.5500030517578,173.33999633789062,170.0500030517578,171.85000610351562,61177400
2022-02-17,165.78138732910156,168.8800048828125,171.91000366210938,168.47000122070312,171.02999877929688,69589300
2022-02-18,164.23040771484375,167.3000030517578,170.5399932861328,166.19000244140625,169.82000732421875,82772700
2022-02-22,161.3050994873047,164.32000732421875,166.69000244140625,162.14999389648438,164.97999572753906,91162800
2022-02-23,157.1330108642578,160.07000732421875,166.14999389648438,159.75,165.5399932861328,90009200
2022-02-24,159.75404357910156,162.74000549316406,162.85000610351562,152.0,152.5800018310547,141147500
2022-02-25,161.8253173828125,164.85000610351562,165.1199951171875,160.8699951171875,163.83999633789062,91974200
2022-02-28,162.09036254882812,165.1199951171875,165.4199981689453,162.42999267578125,163.05999755859375,95056600
2022-03-01,160.20559692382812,163.1999969482422,166.60000610351562,161.97000122070312,164.6999969482422,83474400
